tile_id,question_id,level,level_name,tfidf_lr_gt,tfidf_sr_gt,semantic_lr_gt,semantic_sr_gt,mae_lr_gt,mae_sr_gt,lr_refused,sr_refused
tile_0000,q01_pct_landcover,1,semantic,0.7060777744337089,0.5507796339456278,0.9960832595825195,0.9869104623794556,4.0,8.0,False,False
tile_0000,q02_has_water,1,semantic,1.0,1.0,1.0000001192092896,1.0000001192092896,,,False,False
tile_0000,q03_field_count,2,structural,0.0,0.0,0.7686640620231628,0.7686640620231628,,,False,False
tile_0000,q04_field_rows,2,structural,1.0,0.0,1.0000001192092896,0.7303045988082886,,,False,False
tile_0000,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
tile_0000,q06_road_describe,3,fine_detail,0.486110447993424,0.4945525143392752,0.8672777414321899,0.8231024146080017,,,False,False
tile_0000,q07_building_describe,3,fine_detail,0.9750535565590892,1.0000000000000007,0.9950859546661377,1.0,,,False,False
tile_0001,q01_pct_landcover,1,semantic,0.5479807587583923,0.43603798855130155,0.9681111574172974,0.9814993143081665,11.6,8.0,False,False
tile_0001,q02_has_water,1,semantic,1.0,1.0,1.0000001192092896,1.0000001192092896,,,False,False
tile_0001,q03_field_count,2,structural,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
tile_0001,q04_field_rows,2,structural,0.0,0.0,0.7303045988082886,0.7303045988082886,,,False,False
tile_0001,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
tile_0001,q06_road_describe,3,fine_detail,0.5408857305130629,0.9130378391755537,0.7923373579978943,0.8110516667366028,,,False,False
tile_0001,q07_building_describe,3,fine_detail,0.6553920275317946,0.6720869017578589,0.8790008425712585,0.8903591632843018,,,False,False
tile_0002,q01_pct_landcover,1,semantic,0.5479807587583923,0.6392306240536285,0.9958900213241577,0.9908202886581421,6.0,5.0,False,False
tile_0002,q02_has_water,1,semantic,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
