tile_id,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,1.6302746534347534,2.1281521022319794,1.263144165277481,1.9744855165481567
tile_0001,2.089710980653763,2.194695770740509,1.287720650434494,1.789153814315796
tile_0002,2.157364636659622,2.301485687494278,1.5544438362121582,1.9163259863853455
tile_0003,2.033037841320038,2.3079754412174225,1.7658308148384094,2.1454301476478577
tile_0004,2.176574170589447,2.294703722000122,1.7773936688899994,2.0473207533359528
tile_0005,2.118608057498932,2.243710607290268,1.4978310465812683,2.1526984870433807
tile_0006,1.7514818906784058,2.113116979598999,1.5715846419334412,2.1258296072483063
tile_0007,2.132613956928253,2.246948480606079,1.7375844717025757,2.116599380970001
tile_0008,2.0531651377677917,2.124580591917038,1.3708460330963135,1.870543360710144
tile_0009,1.815124899148941,2.156248837709427,1.5839803218841553,2.044672667980194
tile_0010,2.0239433646202087,2.224104404449463,1.323818564414978,2.105708420276642
tile_0011,2.013584226369858,2.3770834505558014,1.4006784558296204,1.9696828722953796
tile_0012,1.9267167150974274,2.277911901473999,1.3828814029693604,2.048533707857132
tile_0013,1.5874196588993073,1.9042640924453735,1.4759577810764313,1.9539886713027954
tile_0014,1.793447732925415,2.244422733783722,1.44306018948555,2.1490326523780823
tile_0015,1.7464403808116913,2.295237183570862,1.6860374808311462,2.0530788600444794
tile_0016,1.7382650077342987,2.3628373444080353,1.7123126983642578,2.0631009340286255
tile_0017,2.0089465379714966,2.2155803442001343,1.542426347732544,1.7377296090126038
tile_0018,1.5965428948402405,2.2092020511627197,1.4016607403755188,2.1491335332393646
tile_0019,1.5852633118629456,2.093072384595871,1.3116300106048584,1.8464560806751251
tile_0020,1.8773901462554932,2.3231959342956543,1.6483958065509796,1.8968772888183594
tile_0021,1.8599626421928406,2.2999651730060577,1.4943039417266846,2.213321030139923
tile_0022,2.045169919729233,2.287459671497345,1.5651941299438477,2.2145330905914307
tile_0023,1.7228521406650543,2.256823629140854,1.5481166541576385,1.8849042057991028
tile_0024,1.7534089088439941,2.1601325273513794,1.6623912751674652,2.0873934030532837
tile_0025,2.0784302055835724,2.1636120975017548,1.3811960816383362,1.9602422416210175
tile_0026,2.119622677564621,2.2546833753585815,1.3337905704975128,2.030034065246582
tile_0027,2.047225832939148,2.1786752343177795,1.592833250761032,2.074672281742096
