tile_id,classe,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,vegetacao cultivada,1.6927336156368256,1.578105092048645,1.5114973485469818,1.3624326884746552
tile_0001,vegetacao cultivada,1.586558222770691,1.5943454205989838,1.3414746522903442,1.285407841205597
tile_0002,massa dagua,1.4000247418880463,1.4131449162960052,1.279873549938202,1.2083318084478378
tile_0003,vegetacao cultivada,1.6096508502960205,1.662110835313797,1.5095476806163788,1.689523160457611
tile_0004,vegetacao cultivada,1.3371337950229645,1.6176027059555054,1.4715878665447235,1.3645052909851074
tile_0005,campo,1.6367198526859283,1.6747073829174042,1.369255781173706,1.5397784113883972
tile_0006,vegetacao cultivada,1.5746498107910156,1.576802283525467,1.4194518327713013,1.4935611188411713
tile_0007,campo,1.6592103242874146,1.7599281668663025,1.3298316299915314,1.0790365189313889
tile_0008,area edificada,1.778690218925476,1.7876018583774567,1.3785983622074127,1.0176780074834824
tile_0009,campo,1.6951146721839905,1.6592103242874146,1.6750544309616089,1.3298316299915314
tile_0010,campo,1.4299829304218292,1.640545278787613,1.2538997828960419,1.2587723135948181
tile_0011,vegetacao cultivada,1.6474972665309906,1.570545732975006,1.319602131843567,1.3320091366767883
tile_0012,vegetacao cultivada,1.6256572306156158,1.5835191309452057,1.4013108611106873,1.2956202030181885
tile_0013,vegetacao cultivada,1.4701223373413086,1.6516177356243134,1.5121981501579285,1.4823086559772491
tile_0014,vegetacao cultivada,1.6176027059555054,1.6176027059555054,1.3645052909851074,1.3645052909851074
tile_0015,campo,1.624654233455658,1.5880367159843445,1.4127424359321594,1.212087720632553
tile_0016,vegetacao cultivada,1.5746498107910156,1.5689393877983093,1.4194518327713013,1.3623103499412537
tile_0017,vegetacao cultivada,1.630587875843048,1.5827935934066772,1.535792052745819,1.784946769475937
tile_0018,vegetacao cultivada,1.6176027059555054,1.5606090426445007,1.3645052909851074,1.5067122876644135
tile_0019,vegetacao cultivada,1.808197945356369,1.5474364161491394,1.7207624018192291,1.4281760156154633
tile_0020,vegetacao cultivada,1.6176027059555054,1.6887076199054718,1.3645052909851074,1.4886754751205444
tile_0021,vegetacao cultivada,1.5746498107910156,1.5913291275501251,1.4194518327713013,1.4544351398944855
tile_0022,vegetacao cultivada,1.5279340744018555,1.6176027059555054,1.4113456010818481,1.3645052909851074
tile_0023,campo,1.5068982541561127,1.6004636883735657,1.6549240052700043,1.2253030389547348
tile_0024,vegetacao cultivada,1.612955629825592,1.7038582265377045,1.352938562631607,1.124538630247116
tile_0025,area edificada,1.694628745317459,1.8038997054100037,1.0842695832252502,0.8923270553350449
tile_0026,area edificada,1.7676891386508942,1.8459486961364746,1.2646874785423279,1.2664763629436493
tile_0027,campo,1.6004636883735657,1.7172871530056,1.2253030389547348,0.9480873495340347
tile_0028,area edificada,1.6678327322006226,1.85842826962471,1.0136619210243225,1.2026135623455048
tile_0029,vegetacao cultivada,1.6176027059555054,1.6536210477352142,1.3645052909851074,1.391361653804779
tile_0030,vegetacao cultivada,1.6176027059555054,1.6265097260475159,1.3645052909851074,1.3390222191810608
tile_0031,vegetacao cultivada,1.7610464990139008,1.6086162626743317,1.6619813442230225,1.292223185300827
tile_0032,vegetacao cultivada,1.6592760384082794,1.6536210477352142,1.2030257284641266,1.391361653804779
tile_0033,campo,1.5699075162410736,1.617378294467926,1.543113887310028,1.304774284362793
tile_0034,vegetacao cultivada,1.6086162626743317,1.6274665296077728,1.292223185300827,1.3802331686019897
tile_0035,vegetacao cultivada,1.6536210477352142,1.5913793444633484,1.391361653804779,1.3192026317119598
tile_0036,floresta,1.6629938781261444,1.6382159292697906,1.3170850276947021,1.3473120331764221
tile_0037,vegetacao cultivada,1.645670086145401,1.5624910593032837,1.3441520929336548,1.3804517686367035
tile_0038,vegetacao cultivada,1.5746498107910156,1.633666604757309,1.4194518327713013,1.325291395187378
tile_0039,vegetacao cultivada,1.5633811056613922,1.6145431995391846,1.2610355019569397,1.3503578305244446
tile_0040,vegetacao cultivada,1.808197945356369,1.5689393877983093,1.7207624018192291,1.3623103499412537
tile_0041,campo,1.611456423997879,1.6286639869213104,1.397550106048584,1.4042893052101135
tile_0042,campo,1.617378294467926,1.6793784499168396,1.304774284362793,1.4553780853748322
tile_0043,area edificada,1.7624834179878235,1.8268240988254547,0.824163556098938,0.9603662043809891
tile_0044,area edificada,1.7887061834335327,1.8459486961364746,1.2208414822816849,1.2664763629436493
tile_0045,floresta,1.5646319091320038,1.6234210133552551,1.0404063761234283,1.1891145259141922
tile_0046,area edificada,1.8459486961364746,1.803668886423111,1.2664763629436493,1.353369951248169
tile_0047,area edificada,1.8138445913791656,1.8459486961364746,1.2373097240924835,1.2664763629436493
tile_0048,area edificada,1.792791336774826,1.81605264544487,1.3914722204208374,1.1886874586343765
tile_0049,vegetacao cultivada,1.6176027059555054,1.6176027059555054,1.3645052909851074,1.3645052909851074
tile_0050,campo,1.5970192849636078,1.617378294467926,1.2519331276416779,1.304774284362793
tile_0051,campo,1.5767285227775574,1.612880825996399,1.1470471322536469,1.3024869561195374
