tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,"The image shows a coastal area with a mix of land cover types, including a large body of water in the center.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single bridge.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.5,0.6190476190476191,0.5945945945945945,0.7222222222222222,0.48210115162899736,0.5709492058447297
tile_0001,"The image shows a coastal area with a mix of land cover types, including trees, a road, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.7,1.0,0.8333333333333334,1.0,0.7195469560601188,1.0000000000000007
tile_0002,"The image shows a mix of land cover types, including trees, a roundabout, and a golf field.","The image shows a mix of land cover types, including trees, a roundabout, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.8235294117647058,0.875,0.8484848484848485,0.875,0.6914890639979083,0.7357532581618298
tile_0003,"The image shows a remote sensing scene with a mix of land cover types, including grass, trees, and a building.",The image shows a road at the center with trees on both sides.,"The image shows a mix of land cover types, including trees, a road, and a building.",0.75,0.24428389471321574,0.8333333333333334,0.41379310344827586,0.6862931425636344,0.29524991789507565
tile_0004,"The image shows a remote sensing scene with a bridge and some trees in the center, surrounded by a mix of land cover types.","The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.4166666666666667,1.0,0.6153846153846154,1.0,0.48162797164153603,1.0000000000000007
tile_0005,"The image shows a coastal area with a mix of land cover types, including a golf field and a roundabout.","The image shows a mix of land cover types, including trees, a groundtrackfield, and a soccerballfield.","The image shows a mix of land cover types, including trees, a dam, and a roundabout.",0.7,0.875,0.7777777777777777,0.875,0.6226326941910715,0.7357532581618298
tile_0006,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a road.","The image shows a mix of land cover types, including a building, trees, and a road.",0.75,0.75,0.8333333333333334,0.8333333333333334,0.6862931425636344,0.6862931425636344
tile_0007,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including baseball fields, buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, and trees, with a road and a roundabout present.",0.6256320429665967,0.7054014374088451,0.8333333333333333,0.8205128205128205,0.7942282627543568,0.7394126648617821
tile_0008,"The image shows a mix of land cover types, including buildings, houses, and trees, with some areas appearing to be more densely populated than others.","The image shows a mix of land cover types, including buildings, houses, trees, and a single baseball field.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.56,0.8333333333333334,0.6829268292682927,0.8823529411764706,0.5700476310912682,0.7721927900513825
tile_0009,"The image shows a bridge and a building, with the bridge being located at the right side of the image.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a bridge.",0.3499999999999999,0.8731398526961766,0.4444444444444445,0.9032258064516129,0.3686909745411777,0.8037311277734124
