region,tile_id,question_id,level,level_name,tfidf_lr_gt,tfidf_sr_gt,semantic_lr_gt,semantic_sr_gt,mae_lr_gt,mae_sr_gt,lr_refused,sr_refused
R1,tile_0000,q01_pct_landcover,1,semantic,0.7227485729981569,0.7736753693468769,0.982485830783844,0.9966076016426086,12.0,4.0,False,False
R1,tile_0000,q02_has_water,1,semantic,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0000,q03_field_count,2,structural,0.0,0.0,0.7905610799789429,1.0,,,False,False
R1,tile_0000,q04_field_rows,2,structural,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0000,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0000,q06_road_describe,3,fine_detail,0.556927802127384,0.5844141839529214,0.8396905064582825,0.8499586582183838,,,False,False
R1,tile_0000,q07_building_describe,3,fine_detail,0.622599999748005,0.5288716363488986,0.7920432090759277,0.7785509824752808,,,False,False
R1,tile_0001,q01_pct_landcover,1,semantic,0.771651025060578,0.6553563169619766,0.9886658191680908,0.9912840127944946,10.0,10.0,False,False
R1,tile_0001,q02_has_water,1,semantic,1.0,1.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0001,q03_field_count,2,structural,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0001,q04_field_rows,2,structural,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0001,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0001,q06_road_describe,3,fine_detail,0.6083248931367788,1.0,0.7641942501068115,1.0000001192092896,,,False,False
R1,tile_0001,q07_building_describe,3,fine_detail,0.9750535565590892,1.0000000000000009,0.9950859546661376,1.0,,,False,False
R1,tile_0002,q01_pct_landcover,1,semantic,0.6430047564292601,0.6553563169619766,0.9755750894546508,0.9716659188270568,14.0,9.0,False,False
R1,tile_0002,q02_has_water,1,semantic,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0002,q03_field_count,2,structural,0.0,0.0,0.6155939698219299,0.6155939698219299,,,False,False
R1,tile_0002,q04_field_rows,2,structural,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0002,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0002,q06_road_describe,3,fine_detail,0.4471641296192977,0.7549863743369143,0.8381247520446777,0.800650954246521,,,False,False
R1,tile_0002,q07_building_describe,3,fine_detail,0.4241775317002271,0.4594584102910124,0.6130994558334351,0.5438908338546753,,,False,False
R1,tile_0003,q01_pct_landcover,1,semantic,0.7227485729981569,0.4501755023269899,0.9882593154907228,0.9789735078811646,16.0,15.0,False,False
R1,tile_0003,q02_has_water,1,semantic,0.0,0.0,0.7303045988082886,0.7303045988082886,,,False,False
R1,tile_0003,q03_field_count,2,structural,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
R1,tile_0003,q04_field_rows,2,structural,0.0,1.0,0.7303045988082886,1.0000001192092896,,,False,False
R1,tile_0003,q05_building_count,3,fine_detail,0.0,0.0,1.0000001192092896,1.0000001192092896,,,False,False
