tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0026,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including a golf field and a body of water.","The image shows a mix of land cover types, including a dam, trees, and a golf field.",0.0,0,0.0,0.0,0.0,0.0
tile_0027,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0028,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0029,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0030,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.",0.0,0,0.0,0.0,0.0,0.0
tile_0031,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0032,vegetacao cultivada,The image shows a land cover type of a bottle.,"The image shows a mix of land cover types, including a building, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0033,area edificada,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0034,area edificada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a roundabout.",0.0,0,0.0,0.0,0.0,0.0
tile_0035,area edificada,"The image shows a bridge and a building, with the bridge being located at the right side of the image.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0036,area edificada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0037,brejo pantano,"The image shows a coastal area with a mix of land cover types, including trees, a bridge, and a road.","The image shows a remote sensing scene with a bridge and some trees in the center, surrounded by a mix of land cover types.",0.0,0,0.0,0.0,0.0,0.0
tile_0038,campo,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0039,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0040,campo,"The image shows a mix of land cover types, including a large area of greenery, some trees, and a few buildings.","The image shows a mix of land cover types, including trees, grass, and possibly a few buildings or structures in the background.",0.0,0,0.0,0.0,0.0,0.0
tile_0041,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a small area of water at the bottom right.",0.0,0,0.0,0.0,0.0,0.0
tile_0042,massa dagua,The image shows a land cover type of trees at the top left.,"The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0043,floresta,"The image shows a mix of land cover types, including trees, grass, and buildings.","The image shows a mix of land cover types, including trees, buildings, and a soccer ball field.",0.0,0,0.0,0.0,0.0,0.0
tile_0044,brejo pantano,"The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing to be more densely vegetated than others.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.",0.0,0,0.0,0.0,0.0,0.0
tile_0049,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0.0,0,0.0,0.0,0.0,0.0
tile_0050,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0051,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0052,campo,"The image shows a baseball field and some trees in the center, with a road at the right.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0053,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a golf field, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0054,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0055,vegetacao cultivada,The image shows a land cover type of trees at the top.,"The image shows a mix of land cover types, including trees, buildings, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0056,area edificada,"The image shows a mix of land cover types, including buildings, trees, and a runway.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0057,campo,"The image shows a mix of land cover types, including a golf field, trees, and a ground track field.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
tile_0058,area edificada,"The image shows a mix of land cover types, including a golf field, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.0,0,0.0,0.0,0.0,0.0
