tile_id,question_id,level,level_name,question,answer_lr,answer_sr,answer_gt
tile_0000,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 30%, agriculture 20%, urban 5%, water 10%, bare soil 35%","forest 20%, agriculture 60%, urban 0%, water 0%, bare soil 20%","forest 20%, agriculture 50%, urban 0%, water 10%, bare soil 20%"
tile_0000,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0000,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,3,3
tile_0000,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0000,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0000,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom of the image. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the bottom right and the other is located at the top. The road at the bottom right is paved and appears to be
tile_0000,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. The rooftop of the building is not specified in the image.,"There is one building visible in the image, and it is not possible to determine the rooftop color or material from the provided image.",There are two buildings visible in the image. One building is located at the top right and the other one is located at the top left. The color of the rooftop of the building at the top right is not
tile_0001,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 75%, agriculture 0%, urban 0%, water 0%, bare soil 25%","forest 50%, agriculture 0%, urban 0%, water 0%, bare soil 50%","forest 50%, agriculture 25%, urban 0%, water 0%, bare soil 25%"
tile_0001,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,No.
tile_0001,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0001,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0001,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0001,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom left. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top left. The road at the bottom left appears to be an unp,There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top left. The road at the bottom left appears to be an unp
tile_0001,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.
tile_0002,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 30%, agriculture 20%, urban 5%, water 10%, bare soil 35%","forest 50%, agriculture 50%, urban 0%, water 0%, bare soil 5%.","forest 20%, agriculture 50%, urban 0%, water 0%, bare soil 20%"
tile_0002,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0002,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,10
tile_0002,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0002,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0002,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top right. The road at the bottom left appears to be an unp,There are two roads or paths visible in this image. One is located at the top of the image and the other is located at the top left of the image. They appear to be paved and
tile_0002,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. The rooftop is not specified in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,"There are a total of 3 buildings visible in the image. The building at the top left is surrounded by trees, the building at the top right is surrounded by trees, and the building at the bottom left is surrounded by"
tile_0003,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 40%, agriculture 20%, urban 5%, water 10%, bare soil 25%","forest 50%, agriculture 30%, urban 5%, water 5%, bare soil 5%","forest 20%, agriculture 60%, urban 0%, water 10%, bare soil 10%"
tile_0003,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,Yes.
tile_0003,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,1
tile_0003,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",No.,Yes.,Yes.
tile_0003,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0003,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road or path visible in this image, which is located at the right side of the image. It appears to be an unpaved road or path, possibly made of dirt or","There is one road visible in the image, which is located at the center of the image. It appears to be an unpaved road."
tile_0003,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. The rooftop of the building is not specified in the image.,"There is one building visible in the image, and it is not possible to determine the rooftop color or material from the provided image."
tile_0004,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 30%, agriculture 50%, urban 0%, water 0%, bare soil 20%","forest 50%, agriculture 30%, urban 5%, water 5%, bare soil 5%","forest 20%, agriculture 50%, urban 5%, water 20%, bare soil 5%"
tile_0004,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0004,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",3,1,4
tile_0004,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0004,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0004,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There are two roads or paths visible in this image. One is located at the bottom of the image and appears to be an unpaved dirt road, while the other is located at the top",There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top right. The road at the bottom left appears to be an unp
tile_0004,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.
tile_0005,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 40%, agriculture 20%, urban 5%, water 10%, bare soil 5%","forest 50%, agriculture 30%, urban 5%, water 5%, bare soil 5%","forest 20%, agriculture 60%, urban 0%, water 10%, bare soil 10%"
tile_0005,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,Yes.
tile_0005,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,10
tile_0005,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0005,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0005,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road or path visible in this image, which is located at the bottom right. It appears to be an unpaved road or path, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the bottom left. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the top right. The road at the bottom left appears to be an unp
tile_0005,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,"There are a total of 3 buildings visible in the image. The building at the top is surrounded by trees, and the building at the top right is surrounded by trees as well. The building at the bottom left is surrounded"
tile_0006,q01_pct_landcover,1,semantic,"Estimate the percentage of each land cover type visible in this remote sensing image. Answer strictly in this format: forest X%, agriculture X%, urban X%, water X%, bare soil X%. Percentages must sum to 100%.","forest 30%, agriculture 20%, urban 5%, water 10%, bare soil 35%","forest 20%, agriculture 60%, urban 0%, water 0%, bare soil 20%","forest 20%, agriculture 60%, urban 0%, water 10%, bare soil 10%"
tile_0006,q02_has_water,1,semantic,"Is there any water body (river, lake, or pond) visible in this image? Answer only: yes or no.",No.,No.,Yes.
tile_0006,q03_field_count,2,structural,"How many distinct agricultural fields or plots can you count in this image? Give only a number, or say none if no fields are visible.",1,1,10
tile_0006,q04_field_rows,2,structural,"Are agricultural field rows, crop patterns, or field boundaries clearly visible in this image? Answer only: yes or no.",Yes.,Yes.,Yes.
tile_0006,q05_building_count,3,fine_detail,"How many distinct buildings or rooftops can you count in this image? Give only a number, or say none if no buildings are visible.",1,1,1
tile_0006,q06_road_describe,3,fine_detail,How many roads or paths are visible in this image? Are they paved or unpaved? Describe briefly where they are located.,"There is one road visible in the image, which is located at the bottom right. It appears to be an unpaved road, possibly made of dirt or gravel.","There is one road visible in the image, which is located at the top right corner. It appears to be an unpaved road, possibly made of dirt or gravel.",There are two roads or paths visible in this image. One is located at the bottom left and the other is located at the bottom right. The roads are not specified as paved or unpaved
tile_0006,q07_building_describe,3,fine_detail,How many buildings are visible in this image? Describe their rooftop color or material if possible.,There is one building visible in this image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,There is one building visible in the image. It is not possible to determine the rooftop color or material of the building as it is not visible in the image.,"There are a total of 3 buildings visible in the image. The building at the bottom left is surrounded by trees, the building at the bottom right is surrounded by trees, and the building at the top left is surrounded by"
