tile_id,caption_lr,caption_sr,caption_gt_rs,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,a cat is sitting on a table,aerial view of farmland fields,an aerial view of a field with a road and a road,0.13986904558770089,0.1479581783649639,0.2105263157894737,0.35294117647058826,0.0,0.26242093626195995
tile_0001,a black and white cat is sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of a farm in the middle of a rural area,0.15159143965003283,0.4444909324090307,0.16666666666666669,0.5217391304347826,0.0,0.4658743405039108
tile_0002,a black and white cat is standing in a room,a large green field,an aerial view of a large field with a road,0.2,0.16734762011132237,0.20000000000000004,0.4285714285714285,0.0,0.26951761324603224
tile_0003,a black and white cat is sitting on a table,a green stone with a white line on it,the site of the proposed site in the town of st louis,0.0,0.0,0.0,0.0,0.0,0.0
tile_0004,a close up of a blue and white diamond,aerial view of the road from the air,a satellite image of the site of the proposed site,0.19885318151430437,0.2920502936517768,0.2105263157894737,0.33333333333333326,0.10998569993173557,0.33296475105866463
tile_0005,a cat is sitting on a table,a green quartzite slab,an aerial view of a field with a road,0.21470779802151024,0.07162619921504752,0.25,0.15384615384615383,0.0,0.0
tile_0006,a green and white square with a black background,aerial view of the fields,an aerial view of the countryside,0.0,0.6549846024623855,0.0,0.7272727272727272,0.0,0.5803329846765686
tile_0007,a man with a beard and a mustache,aerial view of the river,an aerial view of the farm land,0.0,0.5362560368285115,0.0,0.6666666666666666,0.0,0.5193879933129156
tile_0008,a cat is sitting on a couch,aerial view of the green fields,an aerial view of a farm in the middle of the country,0.06993452279385044,0.24525296078096154,0.10526315789473685,0.4444444444444444,0.0,0.47728504560381624
tile_0009,a blur of a person walking on a sidewalk,a green field with a white line,an aerial view of a farm in the middle of the country,0.15922918012750872,0.06993452279385044,0.1904761904761905,0.10526315789473685,0.11955663142088066,0.0
tile_0010,a blur of a house in the distance,a large green field,a large field with a lot of buildings,0.375,0.27590958087858175,0.375,0.5,0.09193998174078082,0.3187840217537793
tile_0011,a blur of a building with a lot of windows,an aerial view of a large field with buildings,an aerial view of a small town,0.2,0.5555555555555556,0.23529411764705882,0.6250000000000001,0.16279449511971256,0.41120705506761873
tile_0012,a satellite image of the city of london,an aerial view of the site of the former building,an aerial view of a city with buildings,0.375,0.4,0.375,0.4444444444444445,0.24235771956792362,0.3477492453816745
tile_0013,a large white house with a lot of windows,an aerial view of the village,an aerial view of a small town,0.2222222222222222,0.5643211499270759,0.25,0.6153846153846153,0.0845798608014702,0.5031026124151314
tile_0014,a blue and white background with a white background,a large body of water,a body of water,0.11111111111111109,0.8,0.15384615384615383,0.888888888888889,0.0,0.7765145304745156
tile_0015,a black and white photo of a man in a suit,a small green plant in a white container,a black and white photo of a person with a cell,0.7272727272727273,0.2577334795466146,0.7272727272727273,0.3157894736842105,0.4576241622696325,0.07874460345594508
tile_0016,a purple and green background with a black border,a man is playing tennis on a court,a satellite image of a forest,0.2222222222222222,0.25,0.26666666666666666,0.28571428571428575,0.0,0.0
tile_0017,a pink and green background with a black border,a green wall with a white border,a large green field,0.2222222222222222,0.2857142857142857,0.30769230769230765,0.36363636363636365,0.12536693798731732,0.15064018498706508
tile_0018,a blur of pink flowers in the sky,a green wall with a concrete floor,a large area of land,0.25,0.14285714285714285,0.3076923076923077,0.16666666666666666,0.1059921313509325,0.0
tile_0019,a tree with white lights,a view of a lake and a road,a river with a boat in it,0.26812801841425576,0.25,0.3333333333333333,0.26666666666666666,0.1273595297947935,0.0
tile_0020,a picture of a person with a green shirt,a large body of water,a river with a boat in it,0.3333333333333333,0.13406400920712788,0.375,0.16666666666666666,0.10163066979112656,0.0
tile_0021,a green field with a white line in the middle,a river running through a lush green forest,a river running through a lush green forest,0.3,1.0,0.33333333333333326,1.0,0.07874460345594508,1.0000000000000002
tile_0022,a white circle with a black and white stripe,a cake with a river in the middle,a river running through a lush green forest,0.2222222222222222,0.375,0.23529411764705882,0.375,0.0,0.09193998174078082
tile_0023,a gi is standing in the grass,a satellite image of a road in the middle of a green field,an aerial view of the site of the former castle,0.09306272250443651,0.23076923076923078,0.11764705882352941,0.2608695652173913,0.12442854619985262,0.31035223800033435
tile_0024,a green plant with leaves on it,aerial view of the site of the proposed site,an aerial view of the farm and surrounding fields,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.3612742844568884
tile_0025,a close up of a person ' s face,aerial view of the green fields,an aerial view of the village of the village of the village of the village of the village of the village,0.029288570901747406,0.05472333241593253,0.06896551724137931,0.2962962962962963,0.14819654298092744,0.4093914351737415
tile_0026,a blur of a person in a green shirt,aerial view of the green fields,an aerial view of the village of the village of the village of the village of the village of the village,0.029288570901747406,0.05472333241593253,0.06666666666666667,0.2962962962962963,0.13406570559572295,0.4093914351737415
tile_0027,a close up of a cat ' s face,aerial view of the fields,an aerial view of the site of the proposed site,0.09942659075715217,0.2943035529371539,0.11111111111111112,0.5333333333333333,0.12735952979479354,0.5250790579579575
tile_0028,a green tree in the middle of a street,a large field with a tree in the middle,an aerial view of the site of the proposed site,0.19885318151430437,0.09942659075715217,0.2105263157894737,0.10526315789473685,0.23790309463326234,0.10599213135093251
tile_0029,a white and black cat sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
tile_0030,a close up of a person ' s face,an aerial view of a lake and land,an aerial view of a green field with a road,0.2982797722714565,0.48675048941962806,0.33333333333333326,0.5555555555555556,0.08704446792504217,0.368023208756115
tile_0031,a blur of a person on a bike,aerial view of the green fields,an aerial view of the site of the proposed site,0.09735009788392564,0.3422780793550613,0.11111111111111112,0.5,0.12735952979479354,0.4552018457650675
tile_0032,a green tree with a white top,a green field with a white line in the middle,aerial view of the fields and fields in the countryside,0.0,0.2,0.0,0.20000000000000004,0.0,0.16889135817750073
tile_0033,a large christmas tree in the middle of the city,an aerial view of a residential area in the suburb of the city of sydney,an aerial view of the site of the proposed development,0.3,0.4666666666666667,0.3,0.56,0.3280375488887144,0.5987397476519991
tile_0034,a blur of a building in the city,"a satellite image of the town of laredo, mexico","an aerial view of the town of laredo, colombia",0.22062422564614886,0.5555555555555556,0.23529411764705882,0.5555555555555556,0.23224634112407808,0.5043749694851543
tile_0035,a city at night with a bridge and buildings,an aerial view of the city of san,an aerial view of the town of el salvador,0.0,0.6618726769384466,0.0,0.7058823529411765,0.0,0.6201272584968651
tile_0036,a city with lots of lights on it,an aerial view of the intersection of the highway and the intersection of the highway,an aerial view of a city with a road and buildings,0.3436446393954861,0.3333333333333333,0.4210526315789474,0.3846153846153846,0.23577033983032974,0.2507458142011859
tile_0037,a green plant with a white stem,a road that is next to a body of water,a road with a lake in the middle,0.37151909989293497,0.3,0.39999999999999997,0.33333333333333326,0.10163066979112656,0.07874460345594508
tile_0038,a white cat with a black nose,a large body of water,a lake with a boat in it,0.42857142857142855,0.13406400920712788,0.42857142857142855,0.16666666666666666,0.11234277891542777,0.0
tile_0039,a green and pink background with a small white dot,a green wall with a white background,an aerial view of the golf course at the golf club,0.0,0.0,0.0,0.0,0.0,0.0
tile_0040,a pink and green background with a small amount of light,a green and brown wall with a white border,a satellite image of a forest,0.2727272727272727,0.2222222222222222,0.3529411764705882,0.26666666666666666,0.09269789668627057,0.0
tile_0041,a green and red background with a small white dot,a green patch of land,a satellite image of a forest,0.2,0.3274923012311928,0.25,0.3636363636363636,0.0,0.14438355527738672
tile_0042,a baseball game is being played on a field,a large body of water,a river that is in the middle of a town,0.2982797722714565,0.14715177646857694,0.3157894736842105,0.26666666666666666,0.07244081925041986,0.09867961797986957
tile_0043,a white light is on the ground,a large body of water,a large body of water,0.14285714285714285,1.0,0.16666666666666666,1.0,0.0,1.0
tile_0044,a very colorful background with a lot of small circles,a green wall with a small patch of grass,aerial view of a forest,0.2,0.2222222222222222,0.26666666666666666,0.2857142857142857,0.09867961797986959,0.1059921313509325
tile_0045,a green glow on a white background,a green leaf with a brown spot,a heart shaped lake in the middle of a forest,0.18612544500887301,0.18612544500887301,0.23529411764705882,0.23529411764705882,0.0,0.0
tile_0046,a man in a suit and tie is holding a cell,an aerial image of the site of the proposed site,an aerial view of the site of the former home of the late king of egypt,0.0,0.38416814526581844,0.0,0.5384615384615384,0.0,0.6729878432294506
tile_0047,a white bird is flying through the air,a satellite image of a green field,an aerial view of the golf course at the golf course,0.08591115984887154,0.08067401742967989,0.10526315789473685,0.1111111111111111,0.10240420611276425,0.058698686467311904
tile_0048,a green and white flower on a white background,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
