tile_id,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,1.8882624804973602,2.191270589828491,1.3139916956424713,1.9267025589942932
tile_0001,1.70949786901474,2.048318088054657,1.6543477773666382,1.8812020123004913
tile_0002,1.60360649228096,2.133822590112686,1.2798358500003815,2.016206383705139
tile_0003,1.5959836542606354,1.916739046573639,1.3713817298412323,1.9992069900035858
tile_0004,1.8371976912021637,2.0866429805755615,1.4459764957427979,1.9983142614364624
tile_0005,1.6799183189868927,2.1168535947799683,1.5590038895606995,1.996193528175354
tile_0006,1.9246619939804077,2.1921397745609283,1.6616934537887573,1.8470799922943115
tile_0007,1.541578471660614,2.198737859725952,1.3423910737037659,2.0106755197048187
tile_0008,1.59953773021698,2.1748799085617065,1.3672779500484467,1.998068392276764
tile_0009,1.7066243290901184,2.1420995891094208,1.4436693489551544,1.9370828568935394
tile_0010,1.9071796536445618,2.21775084733963,1.7539073526859283,1.937815546989441
tile_0011,1.5202587842941284,2.1878817677497864,1.9901013374328613,2.109203189611435
tile_0012,1.8648451566696167,2.219715118408203,1.813836693763733,2.1335244178771973
tile_0013,1.7701718211174011,2.2281156480312347,1.626681387424469,1.9129090011119843
tile_0014,1.61072239279747,2.1045854687690735,1.501358449459076,2.182706594467163
tile_0015,2.040444165468216,2.18982070684433,1.8312489986419678,2.1532227098941803
tile_0016,1.6402892768383026,2.1374592185020447,1.7507892847061157,1.8776853382587433
tile_0017,2.114901840686798,2.264048606157303,1.8118683993816376,2.01643168926239
tile_0018,1.9048017263412476,2.0535479485988617,1.8297114968299866,2.05676332116127
tile_0019,1.6457255184650421,2.099679708480835,1.5452396869659424,2.0604240894317627
tile_0020,1.5500372648239136,2.0698970556259155,1.5254782140254974,2.0144300162792206
tile_0021,1.796690821647644,2.2227880358695984,1.7416056990623474,2.033102512359619
tile_0022,1.6716676950454712,2.152412533760071,1.719970703125,1.9702687859535217
tile_0023,2.033871114253998,2.353694438934326,1.3178038597106934,1.9057321548461914
tile_0024,1.7666608095169067,2.3277345299720764,1.378936916589737,1.7728258669376373
tile_0025,1.6366910934448242,2.1918749809265137,1.273915022611618,2.159970700740814
tile_0026,1.6979457437992096,2.2275783121585846,1.6353823244571686,2.0379872620105743
tile_0027,1.947651207447052,2.2812624275684357,1.5387947857379913,2.0617687702178955
tile_0028,2.0716848969459534,2.2317668795585632,1.7543122172355652,2.0635107159614563
tile_0029,1.8301162123680115,2.2551462054252625,1.4835372567176819,1.785183846950531
tile_0030,1.2950195372104645,2.2412237524986267,1.3578757643699646,1.961233913898468
tile_0031,1.4738215506076813,2.244306802749634,1.3247178494930267,2.0992299914360046
tile_0032,1.792910248041153,2.251577228307724,1.5643101930618286,1.9889482855796814
tile_0033,1.8598580360412598,2.167433500289917,1.590038239955902,1.7809101939201355
tile_0034,1.9480213522911072,2.1873286366462708,1.6028647124767303,1.8725420534610748
tile_0035,2.0836736261844635,2.204919159412384,1.5876947343349457,2.0521417260169983
tile_0036,2.0090000331401825,2.2893694043159485,1.7015020549297333,2.1481990814208984
tile_0037,1.8344932794570923,2.236306220293045,1.5816392004489899,2.1697813272476196
tile_0038,1.8087384104728699,2.117837369441986,1.666947454214096,1.950838416814804
tile_0039,1.7489050328731537,1.8993030488491058,1.7877884209156036,1.9783934950828552
tile_0040,1.8396782875061035,2.319653332233429,1.7223937809467316,2.0852433145046234
tile_0041,1.8940205872058868,2.1482785046100616,1.6185060143470764,1.970444917678833
tile_0042,1.440480649471283,2.152077555656433,1.300891786813736,1.7574402689933777
tile_0043,1.893829107284546,2.2642798721790314,1.570899784564972,1.9295889139175415
tile_0044,2.0123523473739624,2.210722863674164,1.6908422112464905,2.1429958939552307
tile_0045,1.894383281469345,2.1618516743183136,1.739426851272583,2.1112480759620667
tile_0046,1.7425593733787537,2.269158661365509,1.1987629532814026,1.8191143870353699
tile_0047,1.9133061170578003,2.202613353729248,1.414949893951416,1.9620145857334137
tile_0048,2.024298459291458,2.3124870657920837,1.6220927238464355,1.855492889881134
tile_0049,1.3942132890224457,2.3242633044719696,1.4140060544013977,1.974548101425171
tile_0050,1.8807783722877502,2.297632396221161,1.5348690748214722,2.121867835521698
tile_0051,2.1120499074459076,2.17904195189476,1.4942839741706848,1.7982783913612366
tile_0052,1.5718908607959747,2.2108949720859528,1.517801433801651,1.9328418374061584
tile_0053,1.7175348103046417,2.310761958360672,1.3691346347332,1.876823902130127
tile_0054,1.9343295693397522,2.279699146747589,1.398368775844574,1.8364940583705902
tile_0055,1.5591278672218323,2.2546765208244324,1.616484820842743,1.8649004399776459
tile_0056,2.043381929397583,2.0998515188694,1.4949780702590942,1.862218827009201
tile_0057,1.7692247033119202,2.2337770462036133,1.6280974447727203,2.0266714692115784
tile_0058,1.653563678264618,2.1198010444641113,1.5740469098091125,1.8747249245643616
