tile_id,caption_gt,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,"The image shows a mix of land cover types, including a bridge, a building, a road, and a building, with the bridge and the building being the most prominent features.",0.6249901652336121,0.6138168275356293,0.3761520981788635,0.4722144827246666
tile_0001,"The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.",0.7528039813041687,0.791056826710701,0.5544319003820419,0.6099220365285873
tile_0002,"The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.5183466523885727,0.6757096946239471,0.36979325115680695,0.5428879708051682
tile_0003,"The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in trees.",0.575895644724369,0.6782746315002441,0.34965217113494873,0.48384569585323334
tile_0004,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6004664674401283,0.6586602330207825,0.45528601855039597,0.5926274508237839
tile_0005,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.4843113571405411,0.7010249048471451,0.4561736434698105,0.6203896552324295
tile_0006,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6105231121182442,0.7174789160490036,0.5163756385445595,0.6638940423727036
tile_0007,"The remote sensing image shows a mix of land cover types, including a baseball field, a bridge, a building, a dam, a road, and a soccer ball field.",0.46797994524240494,0.7919759303331375,0.20063862204551697,0.5955957621335983
tile_0008,"The image shows a mix of land cover types, including a golf field, a bridge, and a building.",0.5006071180105209,0.6602572649717331,0.26609688997268677,0.4790251702070236
tile_0009,"The remote sensing image shows a mix of land cover types, including a large field, some trees, and a road.",0.6588445603847504,0.7683882862329483,0.45917272567749023,0.6048312410712242
tile_0010,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6238962709903717,0.7485543191432953,0.4802963137626648,0.5670810118317604
tile_0011,"The image shows a mix of land cover types, including buildings, trees, and a roundabout.",0.5817883461713791,0.68586066365242,0.43262358754873276,0.6648135185241699
tile_0012,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.6750331819057465,0.6743036210536957,0.4714254289865494,0.5912043154239655
tile_0013,"The image shows a mix of land cover types, including buildings, trees, and a bridge.",0.6471791863441467,0.726245790719986,0.42095452547073364,0.4507477581501007
tile_0014,"The image shows a remote sensing scene with a bridge at the bottom left, a building at the top left, and a gray ship at the top left. The land cover type visible is a bridge.",0.5730586498975754,0.8202674984931946,0.45657046139240265,0.6269031018018723
tile_0015,"The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.",0.5236673355102539,0.6658437848091125,0.4643477126955986,0.5266450345516205
tile_0016,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.",0.6672532856464386,0.8354887366294861,0.6935641169548035,0.559019148349762
tile_0017,"The image shows a mix of land cover types, including trees, grass, and a golf field.",0.6191737204790115,0.6893990933895111,0.5854667350649834,0.6570806354284286
tile_0018,"The image shows a mix of land cover types, including trees, grass, and a building.",0.6319281458854675,0.6753658503293991,0.5997283011674881,0.6868767738342285
tile_0019,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6516678631305695,0.7371553778648376,0.5101402476429939,0.4341883212327957
tile_0020,"The image shows a mix of land cover types, including trees, buildings, and a road.",0.6027977913618088,0.7179790735244751,0.5874121189117432,0.47711074352264404
tile_0021,"The image shows a mix of land cover types, including trees, buildings, and a bridge.",0.7119069993495941,0.7675717025995255,0.48556409776210785,0.5558207631111145
tile_0022,"The image shows a river with trees on both sides, and a bridge in the center.",0.6541106104850769,0.7685825973749161,0.4974520578980446,0.6809943914413452
tile_0023,"The image shows a mix of land cover types, including a bridge, a building, trees, and a road.",0.7242975383996964,0.7817144691944122,0.5188266187906265,0.5702662467956543
tile_0024,"The image shows a mix of land cover types, including trees, fields, and a road.",0.6265716999769211,0.7141681015491486,0.5621714144945145,0.6046345457434654
tile_0025,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6227526813745499,0.74677474796772,0.5701552331447601,0.5323555320501328
tile_0026,"The image shows a mix of land cover types, including a bridge, a dam, a road, and various types of vegetation.",0.6573174148797989,0.7653293013572693,0.4192861169576645,0.6944089382886887
tile_0027,"The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.7034643739461899,0.7119441032409668,0.4051212966442108,0.58671984821558
tile_0028,"The image shows a mix of land cover types, including trees, a road, and a bridge.",0.7167474925518036,0.7224524021148682,0.4840273782610893,0.6668595969676971
tile_0029,"The image shows a mix of land cover types, including trees, grass, and a road.",0.7052991539239883,0.7142487913370132,0.6383007019758224,0.7065087556838989
tile_0030,"The image shows a mix of land cover types, including a golf field, trees, and a road.",0.5450997874140739,0.6874685734510422,0.4616495966911316,0.8004435896873474
tile_0031,"The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a gray building at the bottom.",0.5867752432823181,0.6313371658325195,0.33589087426662445,0.5108079314231873
tile_0032,"The image shows a mix of land cover types, including buildings, trees, and a road.",0.6581439822912216,0.7026033848524094,0.5400624498724937,0.5738318711519241
