tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,a cat is sitting on a table,aerial view of farmland fields,an aerial view of a green field,0.14285714285714285,0.40219202762138356,0.14285714285714285,0.5,0.0,0.38087260847594373
tile_0001,a black and white cat is sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of a field with trees,0.0909090909090909,0.4,0.10526315789473685,0.4444444444444445,0.0,0.31882319724566466
tile_0002,a black and white cat is standing in a room,a large green field,an aerial view of a farm in the middle of the country,0.1637461506155964,0.033833820809153176,0.1818181818181818,0.125,0.04851444156903247,0.0
tile_0003,a black and white cat is sitting on a table,a green stone with a white line on it,a satellite image of the site of the proposed site,0.10000000000000002,0.09942659075715217,0.10000000000000002,0.10526315789473685,0.0,0.0
tile_0004,a close up of a blue and white diamond,aerial view of the road from the air,a satellite image of a road in the countryside,0.3333333333333333,0.3309363384692233,0.3333333333333333,0.35294117647058826,0.07780894359285004,0.3249317266808787
tile_0005,a cat is sitting on a table,a green quartzite slab,an aerial view of a field with a road,0.21470779802151024,0.07162619921504752,0.25,0.15384615384615383,0.0,0.0
tile_0006,a green and white square with a black background,aerial view of the fields,an aerial view of the countryside,0.0,0.6549846024623855,0.0,0.7272727272727272,0.0,0.5803329846765686
tile_0007,a man with a beard and a mustache,aerial view of the river,an aerial view of a farm and fields,0.25,0.32928698165641584,0.25,0.4615384615384615,0.09349477497536718,0.34464214103805474
tile_0008,a cat is sitting on a couch,aerial view of the green fields,an aerial view of a farm in the middle of a rural area,0.12124938447912854,0.20760214927639847,0.2,0.42105263157894735,0.0,0.40840369224375006
tile_0009,a blur of a person walking on a sidewalk,a green field with a white line,an aerial view of a field with a small house,0.2982797722714565,0.37225089001774603,0.3157894736842105,0.47058823529411764,0.07874460345594508,0.19087406613020352
tile_0010,a blur of a house in the distance,a large green field,an aerial view of a large industrial area,0.25,0.18393972058572117,0.25,0.3333333333333333,0.0845798608014702,0.12536693798731732
tile_0011,a blur of a building with a lot of windows,an aerial view of a large field with buildings,an aerial view of a small town,0.2,0.5555555555555556,0.23529411764705882,0.6250000000000001,0.16279449511971256,0.41120705506761873
tile_0012,a satellite image of the city of london,an aerial view of the site of the former building,an aerial view of a city with buildings,0.375,0.4,0.375,0.4444444444444445,0.24235771956792362,0.3477492453816745
tile_0013,a large white house with a lot of windows,an aerial view of the village,an aerial view of a small town,0.2222222222222222,0.5643211499270759,0.25,0.6153846153846153,0.0845798608014702,0.5031026124151314
tile_0014,a blue and white background with a white background,a large body of water,a body of water,0.11111111111111109,0.8,0.15384615384615383,0.888888888888889,0.0,0.7765145304745156
tile_0015,a black and white photo of a man in a suit,a small green plant in a white container,a black and white photo of a river,0.6363636363636364,0.375,0.7368421052631579,0.375,0.5727393584196196,0.09193998174078082
tile_0016,a purple and green background with a black border,a man is playing tennis on a court,a large area with a lot of trees,0.3333333333333333,0.25,0.35294117647058826,0.25,0.0845798608014702,0.0
tile_0017,a pink and green background with a black border,a green wall with a white border,a satellite image of a forest with a large patch of grass,0.23884377019126307,0.20980356838155134,0.28571428571428575,0.3157894736842105,0.06123094334544521,0.07357474610589511
tile_0018,a blur of pink flowers in the sky,a green wall with a concrete floor,a green field with trees and grass,0.12500000000000003,0.42857142857142855,0.13333333333333333,0.42857142857142855,0.0,0.22576484600261612
tile_0019,a tree with white lights,a view of a lake and a road,a river with houses and trees in the middle,0.17973158564688863,0.22062422564614886,0.2857142857142857,0.23529411764705882,0.09867961797986956,0.08704446792504218
tile_0020,a picture of a person with a green shirt,a large body of water,a river with a boat in it,0.3333333333333333,0.13406400920712788,0.375,0.16666666666666666,0.10163066979112656,0.0
tile_0021,a green field with a white line in the middle,a river running through a lush green forest,a river running through a lush green forest,0.3,1.0,0.33333333333333326,1.0,0.07874460345594508,1.0000000000000002
tile_0022,a white circle with a black and white stripe,a cake with a river in the middle,a river in the middle of a forest,0.2222222222222222,0.75,0.23529411764705882,0.75,0.0,0.5031026124151314
tile_0023,a gi is standing in the grass,a satellite image of a road in the middle of a green field,oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique,0.0,0.0,0.0,0.0,0.0,0.0
tile_0024,a green plant with leaves on it,aerial view of the site of the proposed site,an aerial view of the ancient site of the incas,0.0,0.6959861353000654,0.0,0.7368421052631577,0.0,0.729758519818103
tile_0025,a close up of a person ' s face,aerial view of the green fields,an aerial view of a rural area,0.2222222222222222,0.423240862445307,0.26666666666666666,0.4615384615384615,0.10163066979112656,0.33609692727625745
tile_0026,a blur of a person in a green shirt,aerial view of the green fields,an aerial view of a road in the countryside,0.3333333333333333,0.4043537731417556,0.3333333333333333,0.5333333333333333,0.17077611319011654,0.41120705506761873
tile_0027,a close up of a cat ' s face,aerial view of the fields,an aerial view of the site of the proposed site,0.09942659075715217,0.2943035529371539,0.11111111111111112,0.5333333333333333,0.12735952979479354,0.5250790579579575
